onset	duration	sample	trial_type	response_time	stim_file	study_1	study_2	serialpos	probepos	probe_word	resp_word	correct	list	test	answer	stimulation	stim_list	stim_duration	anode_label	cathode_label	amplitude	pulse_freq	n_pulses	pulse_width	experiment	session	subject
0.0	67.095	39977	SESS_START	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
67.095	1.016	73521	START	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[-999, -999, -999]	n/a	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
68.111	133.267	74029	PROB	133.267	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[1, 4, 2]	7	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
201.378	81.768	140655	STOP	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[-999, -999, -999]	n/a	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
283.146	10.443	181535	ENCODING_START	n/a	n/a	n/a	n/a	0	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
293.589	0.25	186756	STUDY_ORIENT	n/a	n/a	SIGN	BEAK	1	1	BEAK	SIGN	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
294.203	4.6	187063	STIM_ON	n/a	n/a	SIGN	BEAK	1	1	BEAK	SIGN	1	1	[0, 0, 0]	n/a	1	1	4600	RTG1	RTG10	1000.0	50	230	300	PAL2	0	R1028M
294.405	4.0	187164	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	SIGN	BEAK	1	1	BEAK	SIGN	1	1	[0, 0, 0]	n/a	1	1	4600	RTG1	RTG10	1000.0	50	230	300	PAL2	0	R1028M
299.423	0.25	189673	STUDY_ORIENT	n/a	n/a	CASH	CAR	2	2	CAR	CASH	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
300.341	4.0	190132	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	CASH	CAR	2	2	CAR	CASH	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
305.375	0.25	192649	STUDY_ORIENT	n/a	n/a	ELF	SHOE	3	3	ELF	SHOE	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
305.945	4.6	192933	STIM_ON	n/a	n/a	ELF	SHOE	3	3	ELF	SHOE	1	1	[0, 0, 0]	n/a	1	1	4600	RTG1	RTG10	1000.0	50	230	300	PAL2	0	R1028M
306.159	4.0	193040	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	ELF	SHOE	3	3	ELF	SHOE	1	1	[0, 0, 0]	n/a	1	1	4600	RTG1	RTG10	1000.0	50	230	300	PAL2	0	R1028M
311.193	0.25	195557	STUDY_ORIENT	n/a	n/a	EEL	SKY	4	6	EEL	SKY	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
311.993	4.0	195957	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	EEL	SKY	4	6	EEL	SKY	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
317.011	0.25	198466	STUDY_ORIENT	n/a	n/a	KEY	SUN	5	5	SUN	KEY	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
317.688	4.6	198804	STIM_ON	n/a	n/a	KEY	SUN	5	5	SUN	KEY	1	1	[0, 0, 0]	n/a	1	1	4600	RTG1	RTG10	1000.0	50	230	300	PAL2	0	R1028M
317.894	4.0	198907	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	KEY	SUN	5	5	SUN	KEY	1	1	[0, 0, 0]	n/a	1	1	4600	RTG1	RTG10	1000.0	50	230	300	PAL2	0	R1028M
322.929	0.25	201425	STUDY_ORIENT	n/a	n/a	CROWN	BOWL	6	4	BOWL	CROWN	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
323.846	4.0	201883	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	CROWN	BOWL	6	4	BOWL	CROWN	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
327.863	1.0	203891	START	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[-999, -999, -999]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
328.863	0.017	204391	MATH_START	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
328.88	4.501	204400	PROB	4.466	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[7, 5, 2]	14	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
333.381	2.584	206650	PROB	2.557	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[1, 4, 4]	9	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
335.965	3.484	207942	PROB	3.452	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[5, 7, 3]	15	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
339.449	3.084	209684	PROB	3.057	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[8, 1, 4]	13	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
342.533	2.983	211226	PROB	2.949	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[6, 1, 5]	12	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
345.516	2.934	212717	PROB	2.934	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[9, 5, 5]	19	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
348.45	0.017	214184	STOP	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[-999, -999, -999]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
348.467	0.0	214192	TEST_START	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
348.467	0.017	214192	MATH_END	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
348.484	0.25	214201	TEST_ORIENT	n/a	n/a	SIGN	BEAK	1	1	BEAK	SIGN	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
349.484	4.0	214701	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	SIGN	BEAK	1	1	BEAK	SIGN	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
349.485	1.052	214701	REC_START	n/a	n/a	n/a	n/a	1	-999	n/a	SIGN	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
350.537	3.973	215227	REC_EVENT	1.052	n/a	SIGN	BEAK	1	1	BEAK	SIGN	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
354.51	0.008	217214	REC_END	n/a	n/a	n/a	n/a	1	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
354.518	0.25	217218	TEST_ORIENT	n/a	n/a	CASH	CAR	2	2	CAR	CASH	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
355.518	4.0	217717	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	CASH	CAR	2	2	CAR	CASH	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
355.519	0.877	217718	REC_START	n/a	n/a	n/a	n/a	2	-999	n/a	CASH	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
356.396	4.131	218156	REC_EVENT	0.877	n/a	CASH	CAR	2	2	CAR	CASH	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
360.527	0.009	220222	REC_END	n/a	n/a	n/a	n/a	2	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
360.536	0.25	220226	TEST_ORIENT	n/a	n/a	ELF	SHOE	3	3	ELF	SHOE	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
361.503	4.0	220710	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	ELF	SHOE	3	3	ELF	SHOE	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
361.503	0.815	220710	REC_START	n/a	n/a	n/a	n/a	3	-999	n/a	SHOE	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
362.318	4.202	221117	REC_EVENT	0.815	n/a	ELF	SHOE	3	3	ELF	SHOE	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
366.52	0.017	223218	REC_END	n/a	n/a	n/a	n/a	3	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
366.537	0.25	223226	TEST_ORIENT	n/a	n/a	CROWN	BOWL	6	4	BOWL	CROWN	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
367.454	4.0	223685	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	CROWN	BOWL	6	4	BOWL	CROWN	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
367.455	0.868	223685	REC_START	n/a	n/a	n/a	n/a	6	-999	n/a	CROWN	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
368.323	4.143	224119	REC_EVENT	0.868	n/a	CROWN	BOWL	6	4	BOWL	CROWN	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
372.466	0.022	226191	REC_END	n/a	n/a	n/a	n/a	6	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
372.488	0.25	226202	TEST_ORIENT	n/a	n/a	KEY	SUN	5	5	SUN	KEY	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
373.439	4.0	226677	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	KEY	SUN	5	5	SUN	KEY	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
373.439	0.838	226677	REC_START	n/a	n/a	n/a	n/a	5	-999	n/a	KEY	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
374.277	4.187	227096	REC_EVENT	0.838	n/a	KEY	SUN	5	5	SUN	KEY	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
378.464	0.009	229189	REC_END	n/a	n/a	n/a	n/a	5	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
378.473	0.25	229194	TEST_ORIENT	n/a	n/a	EEL	SKY	4	6	EEL	SKY	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
379.373	4.0	229644	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	EEL	SKY	4	6	EEL	SKY	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
379.374	1.36	229644	REC_START	n/a	n/a	n/a	n/a	4	-999	n/a	SKY	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
380.734	3.648	230324	REC_EVENT	1.36	n/a	EEL	SKY	4	6	EEL	SKY	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
384.382	4.276	232148	REC_END	n/a	n/a	n/a	n/a	4	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
388.658	10.452	234286	ENCODING_START	n/a	n/a	n/a	n/a	0	-999	n/a	n/a	-999	2	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
399.11	0.25	239511	STUDY_ORIENT	n/a	n/a	CONE	MUG	1	1	CONE	MUG	1	2	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
400.077	4.0	239995	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	CONE	MUG	1	1	CONE	MUG	1	2	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1028M
