onset	duration	sample	trial_type	response_time	stim_file	study_1	study_2	serialpos	probepos	probe_word	resp_word	correct	list	test	answer	stimulation	stim_list	stim_duration	anode_label	cathode_label	amplitude	pulse_freq	n_pulses	pulse_width	experiment	session	subject
0.0	59.996	193718	SESS_START	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
59.996	1.016	223713	START	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[-999, -999, -999]	n/a	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
61.012	3.284	224221	PROB	3.257	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[7, 1, 6]	14	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
64.296	2.383	225863	PROB	2.348	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[9, 8, 6]	23	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
66.679	2.601	227054	PROB	2.582	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[2, 9, 5]	16	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
69.28	3.484	228355	PROB	3.453	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[1, 2, 2]	5	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
72.764	4.235	230096	PROB	4.209	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[5, 6, 6]	17	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
76.999	3.846	232214	PROB	3.846	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[8, 4, 8]	20	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
80.845	42.647	234136	STOP	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[-999, -999, -999]	n/a	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
123.492	10.451	255458	ENCODING_START	n/a	n/a	n/a	n/a	0	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
133.943	0.25	260683	STUDY_ORIENT	n/a	n/a	KEY	SAIL	1	1	KEY	SAIL	1	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
134.827	4.0	261125	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	KEY	SAIL	1	1	KEY	SAIL	1	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
139.861	0.25	263641	STUDY_ORIENT	n/a	n/a	THREAD	PALM	2	2	THREAD	PALM	1	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
140.878	4.0	264150	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	THREAD	PALM	2	2	THREAD	PALM	1	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
145.912	0.25	266667	STUDY_ORIENT	n/a	n/a	COUCH	TOOL	3	5	COUCH	TOOL	1	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
146.912	4.0	267167	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	COUCH	TOOL	3	5	COUCH	TOOL	1	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
151.93	0.25	269675	STUDY_ORIENT	n/a	n/a	GOLD	STREET	4	6	STREET	GOLD	1	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
152.88	4.0	270150	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	GOLD	STREET	4	6	STREET	GOLD	1	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
157.898	0.25	272659	STUDY_ORIENT	n/a	n/a	BOAT	PLANT	5	3	PLANT	BOAT	1	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
158.732	4.0	273076	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	BOAT	PLANT	5	3	PLANT	BOAT	1	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
163.766	0.25	275593	STUDY_ORIENT	n/a	n/a	CORD	DUCK	6	4	DUCK	CORD	1	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
164.733	4.0	276076	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	CORD	DUCK	6	4	DUCK	CORD	1	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
168.751	0.999	278085	START	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[-999, -999, -999]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
169.75	0.017	278584	MATH_START	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
169.767	3.667	278593	PROB	3.638	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[6, 2, 2]	10	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
173.434	2.801	280426	PROB	2.771	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[5, 4, 8]	17	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
176.235	3.333	281827	PROB	3.297	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[5, 7, 8]	20	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
179.568	2.535	283493	PROB	2.509	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[2, 1, 9]	12	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
182.103	2.416	284760	PROB	2.397	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[3, 2, 8]	13	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
184.519	2.868	285968	PROB	2.846	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[2, 5, 9]	16	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
187.387	2.634	287402	PROB	2.634	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[8, 5, 1]	14	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
190.021	0.017	288719	STOP	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[-999, -999, -999]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
190.038	0.0	288727	MATH_END	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
190.038	0.016	288727	TEST_START	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
190.054	0.25	288735	TEST_ORIENT	n/a	n/a	KEY	SAIL	1	1	KEY	SAIL	1	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
190.955	4.0	289186	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	KEY	SAIL	1	1	KEY	SAIL	1	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1031M
