onset	duration	sample	trial_type	response_time	stim_file	study_1	study_2	serialpos	probepos	probe_word	resp_word	correct	list	test	answer	stimulation	stim_list	stim_duration	anode_label	cathode_label	amplitude	pulse_freq	n_pulses	pulse_width	experiment	session	subject
0.0	111.604	10122	SESS_START	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
111.604	1.017	65921	START	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[-999, -999, -999]	n/a	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
112.621	3.617	66429	PROB	3.583	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[1, 9, 9]	19	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
116.238	4.801	68238	PROB	4.774	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[5, 8, 3]	16	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
121.039	4.785	70638	PROB	4.766	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[8, 8, 5]	21	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
125.824	2.883	73030	PROB	2.86	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[4, 3, 8]	15	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
128.707	6.697	74472	PROB	6.697	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[8, 5, 6]	19	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
135.404	47.377	77820	STOP	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[-999, -999, -999]	n/a	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
182.781	10.439	101507	ENCODING_START	n/a	n/a	n/a	n/a	0	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
193.22	0.25	106727	STUDY_ORIENT	n/a	n/a	MAP	FUR	1	5	MAP	n/a	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
194.154	4.0	107193	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	MAP	FUR	1	5	MAP	n/a	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
199.188	0.25	109710	STUDY_ORIENT	n/a	n/a	WAND	SHELL	2	4	WAND	n/a	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
200.071	4.0	110152	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	WAND	SHELL	2	4	WAND	n/a	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
205.089	0.25	112661	STUDY_ORIENT	n/a	n/a	PEACH	STREET	3	3	STREET	n/a	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
205.89	4.0	113061	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	PEACH	STREET	3	3	STREET	n/a	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
210.908	0.25	115570	STUDY_ORIENT	n/a	n/a	JAIL	SWAMP	4	6	SWAMP	n/a	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
211.875	4.0	116054	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	JAIL	SWAMP	4	6	SWAMP	n/a	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
216.909	0.25	118570	STUDY_ORIENT	n/a	n/a	SNOW	GRAPE	5	1	GRAPE	SNOW	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
217.708	4.0	118970	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	SNOW	GRAPE	5	1	GRAPE	SNOW	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
222.726	0.25	121479	STUDY_ORIENT	n/a	n/a	TIE	CLOWN	6	2	CLOWN	n/a	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
223.543	4.0	121887	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	TIE	CLOWN	6	2	CLOWN	n/a	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
227.561	0.999	123896	START	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[-999, -999, -999]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
228.56	0.017	124396	MATH_START	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
228.577	3.202	124404	PROB	3.179	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[3, 4, 3]	10	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
231.779	2.299	126005	PROB	2.265	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[5, 7, 1]	13	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
234.078	2.167	127154	PROB	2.134	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[1, 4, 1]	5	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
236.245	3.501	128238	PROB	3.479	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[4, 7, 3]	14	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
239.746	2.168	129988	PROB	2.139	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[3, 3, 1]	7	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
241.914	5.69	131072	PROB	5.69	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[9, 4, 9]	22	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
247.604	0.01	133917	STOP	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[-999, -999, -999]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
247.614	0.0	133922	MATH_END	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
247.614	0.017	133922	TEST_START	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
247.631	0.25	133931	TEST_ORIENT	n/a	n/a	SNOW	GRAPE	5	1	GRAPE	SNOW	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
248.267	4.6	134249	STIM_ON	n/a	n/a	SNOW	GRAPE	5	1	GRAPE	SNOW	1	1	[0, 0, 0]	n/a	1	1	4600	RFG10	RFG11	3000.0	50	230	300	PAL2	0	R1060M
248.481	4.0	134356	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	SNOW	GRAPE	5	1	GRAPE	SNOW	1	1	[0, 0, 0]	n/a	1	1	4600	RFG10	RFG11	3000.0	50	230	300	PAL2	0	R1060M
248.481	1.055	134356	REC_START	n/a	n/a	n/a	n/a	5	-999	n/a	SNOW	1	1	[0, 0, 0]	n/a	1	1	4600	RFG10	RFG11	3000.0	50	230	300	PAL2	0	R1060M
249.536	3.963	134883	REC_EVENT	1.055	n/a	SNOW	GRAPE	5	1	GRAPE	SNOW	1	1	[0, 0, 0]	n/a	1	1	4600	RFG10	RFG11	3000.0	50	230	300	PAL2	0	R1060M
253.499	0.016	136864	REC_END	n/a	n/a	n/a	n/a	5	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
253.515	0.25	136872	TEST_ORIENT	n/a	n/a	TIE	CLOWN	6	2	CLOWN	n/a	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1060M
