onset	duration	sample	trial_type	response_time	stim_file	study_1	study_2	serialpos	probepos	probe_word	resp_word	correct	list	test	answer	stimulation	stim_list	stim_duration	anode_label	cathode_label	amplitude	pulse_freq	n_pulses	pulse_width	experiment	session	subject
0.0	79.809	309512	SESS_START	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
79.809	1.016	389318	START	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[-999, -999, -999]	n/a	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
80.825	16.003	390334	PROB	15.972	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[9, 2, 6]	17	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
96.828	5.616	406337	PROB	5.616	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[9, 2, 7]	18	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
102.444	52.896	411953	STOP	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[-999, -999, -999]	n/a	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
155.34	10.45	464847	ENCODING_START	n/a	n/a	n/a	n/a	0	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
165.79	0.25	475297	STUDY_ORIENT	n/a	n/a	BAND	LAMP	1	3	LAMP	FACE	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
166.69	4.0	476197	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	BAND	LAMP	1	3	LAMP	FACE	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
171.724	0.25	481230	STUDY_ORIENT	n/a	n/a	VEST	PLATE	2	6	VEST	n/a	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
172.379	4.6	481885	STIM_ON	n/a	n/a	VEST	PLATE	2	6	VEST	n/a	0	1	[0, 0, 0]	n/a	1	1	4600	ALF7	ALF8	3000.0	50	230	300	PAL2	1	R1091N
172.591	4.0	482097	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	VEST	PLATE	2	6	VEST	n/a	0	1	[0, 0, 0]	n/a	1	1	4600	ALF7	ALF8	3000.0	50	230	300	PAL2	1	R1091N
177.625	0.25	487131	STUDY_ORIENT	n/a	n/a	SHOE	PANTS	3	1	PANTS	n/a	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
178.491	4.0	487997	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	SHOE	PANTS	3	1	PANTS	n/a	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
183.525	0.25	493031	STUDY_ORIENT	n/a	n/a	POLE	PIT	4	2	PIT	POLE	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
184.157	4.6	493663	STIM_ON	n/a	n/a	POLE	PIT	4	2	PIT	POLE	1	1	[0, 0, 0]	n/a	1	1	4600	ALF7	ALF8	3000.0	50	230	300	PAL2	1	R1091N
184.358	4.0	493864	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	POLE	PIT	4	2	PIT	POLE	1	1	[0, 0, 0]	n/a	1	1	4600	ALF7	ALF8	3000.0	50	230	300	PAL2	1	R1091N
189.376	0.25	498882	STUDY_ORIENT	n/a	n/a	BARN	SHARK	5	5	BARN	n/a	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
190.376	4.0	499882	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	BARN	SHARK	5	5	BARN	n/a	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
195.41	0.25	504916	STUDY_ORIENT	n/a	n/a	BRIDGE	STRING	6	4	STRING	VEST	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
196.111	4.6	505617	STIM_ON	n/a	n/a	BRIDGE	STRING	6	4	STRING	VEST	0	1	[0, 0, 0]	n/a	1	1	4600	ALF7	ALF8	3000.0	50	230	300	PAL2	1	R1091N
196.328	4.0	505834	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	BRIDGE	STRING	6	4	STRING	VEST	0	1	[0, 0, 0]	n/a	1	1	4600	ALF7	ALF8	3000.0	50	230	300	PAL2	1	R1091N
200.345	0.999	509851	START	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[-999, -999, -999]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
201.344	0.017	510850	MATH_START	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
201.361	9.068	510867	PROB	9.035	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[2, 8, 8]	18	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
210.429	5.336	519934	PROB	5.312	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[7, 6, 9]	21	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
215.765	4.017	525270	PROB	3.984	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[5, 6, 6]	17	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
219.782	2.879	529287	PROB	2.879	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[6, 2, 1]	9	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
222.661	0.005	532166	STOP	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[-999, -999, -999]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
222.666	0.0	532171	MATH_END	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
222.666	0.017	532171	TEST_START	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
222.683	0.25	532188	TEST_ORIENT	n/a	n/a	SHOE	PANTS	3	1	PANTS	n/a	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
223.566	4.0	533071	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	SHOE	PANTS	3	1	PANTS	n/a	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
223.567	5.015	533072	REC_START	n/a	n/a	n/a	n/a	3	-999	n/a	n/a	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
228.582	0.001	538087	REC_EVENT	5.015	n/a	SHOE	PANTS	3	1	PANTS	<>	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
228.583	0.017	538088	REC_END	n/a	n/a	n/a	n/a	3	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
228.6	0.25	538105	TEST_ORIENT	n/a	n/a	POLE	PIT	4	2	PIT	POLE	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
229.567	4.0	539072	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	POLE	PIT	4	2	PIT	POLE	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
229.568	1.0	539073	REC_START	n/a	n/a	n/a	n/a	4	-999	n/a	POLE	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
230.568	4.016	540073	REC_EVENT	1.0	n/a	POLE	PIT	4	2	PIT	POLE	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
234.584	0.017	544088	REC_END	n/a	n/a	n/a	n/a	4	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
234.601	0.25	544105	TEST_ORIENT	n/a	n/a	BAND	LAMP	1	3	LAMP	FACE	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
235.45	4.0	544954	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	BAND	LAMP	1	3	LAMP	FACE	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
235.451	3.631	544955	REC_START	n/a	n/a	n/a	n/a	1	-999	n/a	FACE	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
239.082	1.376	548586	REC_EVENT	3.631	n/a	BAND	LAMP	1	3	LAMP	FACE	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
240.458	0.01	549962	REC_END	n/a	n/a	n/a	n/a	1	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
240.468	0.25	549972	TEST_ORIENT	n/a	n/a	BRIDGE	STRING	6	4	STRING	VEST	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
241.335	0.0	550839	REC_START	n/a	n/a	n/a	n/a	6	-999	n/a	VEST	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
241.335	4.0	550839	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	BRIDGE	STRING	6	4	STRING	VEST	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
242.056	0.83	551560	REC_EVENT	0.721	n/a	BRIDGE	STRING	6	4	STRING	<>	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
242.886	3.466	552390	REC_EVENT	1.551	n/a	BRIDGE	STRING	6	4	STRING	VEST	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
246.352	0.017	555856	REC_END	n/a	n/a	n/a	n/a	6	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
246.369	0.25	555873	TEST_ORIENT	n/a	n/a	BARN	SHARK	5	5	BARN	n/a	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
247.187	4.0	556691	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	BARN	SHARK	5	5	BARN	n/a	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
247.187	2.739	556691	REC_START	n/a	n/a	n/a	n/a	5	-999	n/a	n/a	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
249.926	2.278	559430	REC_EVENT	2.739	n/a	BARN	SHARK	5	5	BARN	<>	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
252.204	0.017	561708	REC_END	n/a	n/a	n/a	n/a	5	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
252.221	0.25	561725	TEST_ORIENT	n/a	n/a	VEST	PLATE	2	6	VEST	n/a	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
253.238	4.0	562742	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	VEST	PLATE	2	6	VEST	n/a	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
253.238	5.015	562742	REC_START	n/a	n/a	n/a	n/a	2	-999	n/a	n/a	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
258.253	0.002	567757	REC_EVENT	5.015	n/a	VEST	PLATE	2	6	VEST	<>	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
258.255	2.046	567759	REC_END	n/a	n/a	n/a	n/a	2	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
260.301	10.44	569805	ENCODING_START	n/a	n/a	n/a	n/a	0	-999	n/a	n/a	-999	2	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
270.741	0.25	580244	STUDY_ORIENT	n/a	n/a	ROSE	STONE	1	5	STONE	n/a	0	2	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
271.741	4.0	581244	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	ROSE	STONE	1	5	STONE	n/a	0	2	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
276.775	0.25	586278	STUDY_ORIENT	n/a	n/a	TANK	STAIR	2	2	STAIR	n/a	0	2	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
277.592	4.0	587095	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	TANK	STAIR	2	2	STAIR	n/a	0	2	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1091N
